識別情報,団体コード,団体名,種別,名称,概要,通称,住所_表記,施設_緯度,施設_経度,施設_電話番号,ホームページ,開始時間,終了時間,日時備考,自由記述欄
1,112321,久喜市,庁舎等,久喜市役所（本庁舎）,,,下早見85-3,36.062145 ,139.666817 ,22-1111,,,,,
2,112321,久喜市,庁舎等,久喜市役所（第二庁舎）,,,北青柳1404-7,36.052625 ,139.659255 ,22-1111,,,,,
3,112321,久喜市,庁舎等,菖蒲総合支所,,,菖蒲町新堀38,36.059249 ,139.601499 ,85-1111,,,,,
4,112321,久喜市,庁舎等,栗橋総合支所,,,間鎌251-1 ,36.126453 ,139.696062 ,53-1111,,,,,
5,112321,久喜市,庁舎等,鷲宮総合支所,,,鷲宮6-1-1,36.099935 ,139.667466 ,58-1111,,,,,
6,112321,久喜市,庁舎等,公文書館,,,下早見85-1,36.062777 ,139.666830 ,23-5010,,,,,
7,112321,久喜市,庁舎等,久喜市教育委員会（久喜市みらい創造プレイス）,,,下清久500-1,36.077323 ,139.651829 ,22-5555,,,,,
8,112321,久喜市,清掃センター,久喜宮代清掃センター,,,宮代町大字和戸1276-1,36.086885 ,139.642247 ,34-2042,,,,,
9,112321,久喜市,清掃センター,菖蒲清掃センター,,,菖蒲町台2770-1,36.064876 ,139.636844 ,85-7027,,,,,
10,112321,久喜市,清掃センター,八甫清掃センター,,,八甫2525,36.096673 ,139.698780 ,58-1309,,,,,
11,112321,久喜市,警察・消防・救急,久喜警察署,,,上早見154,36.067633 ,139.660298 ,24-0110,,,,,
12,112321,久喜市,警察・消防・救急,　久喜駅東口交番　　,,,久喜東1-1-4,36.066411 ,139.678549 ,21-0749,,,,,
13,112321,久喜市,警察・消防・救急,　久喜駅西口交番,,,久喜中央1-1-16,36.066225 ,139.677319 ,22-1215,,,,,
14,112321,久喜市,警察・消防・救急,　菖蒲交番,,,菖蒲町新堀550-5,36.065635 ,139.600416 ,85-1204,,,,,
15,112321,久喜市,警察・消防・救急,　鷲宮交番,,,葛梅3-11-1,36.091651 ,139.658191 ,58-1208,,,,,
16,112321,久喜市,警察・消防・救急,　東鷲宮駅前交番,,,桜田3-1-2,36.088735 ,139.680510 ,58-1007,,,,,
17,112321,久喜市,警察・消防・救急,　太田交番,,,青毛3-1-13,36.074109 ,139.703499 ,22-1210,,,,,
18,112321,久喜市,警察・消防・救急,　清久駐在所,,,六万部1081-2,36.071434 ,139.642461 ,22-1214,,,,,
19,112321,久喜市,警察・消防・救急,　小林駐在所,,,菖蒲町小林2264-8,36.056252 ,139.584637 ,85-1209,,,,,
20,112321,久喜市,警察・消防・救急,幸手警察署,,,幸手市大字上吉羽964,36.072193 ,139.659580 ,42-0110,,,,,
21,112321,久喜市,警察・消防・救急,　栗橋交番,,,栗橋中央2-6-1,36.139775 ,139.700665 ,52-0049,,,,,
22,112321,久喜市,警察・消防・救急,　南栗橋交番,,,南栗橋4-15-5,36.112807 ,139.711197 ,52-9801,,,,,
23,112321,久喜市,警察・消防・救急,埼玉東部消防組合消防局,,,上早見396,36.068675 ,139.659497 ,21-0119,,,,,
24,112321,久喜市,警察・消防・救急,久喜消防署,,,上早見396,36.068675 ,139.659497 ,21-0190,,,,,
25,112321,久喜市,警察・消防・救急,　東分署,,,吉羽2-30-2,36.068875 ,139.689991 ,22-1217,,,,,
26,112321,久喜市,警察・消防・救急,　菖蒲分署,,,菖蒲町新堀964-1,36.062374 ,139.595667 ,85-1009,,,,,
27,112321,久喜市,警察・消防・救急,　栗橋分署,,,栗橋324-2,36.126554 ,139.704741 ,52-2119,,,,,
28,112321,久喜市,警察・消防・救急,　鷲宮分署,,,西大輪2111-6,36.092983 ,139.670987 ,58-1001,,,,,
29,112321,久喜市,斎場,メモリアルトネ（公域利根斎場組合）,,,加須市川口4ｰ3-5,36.086885 ,139.642247 ,65-8234,,,,,
30,112321,久喜市,"国・県の機関
（学校・図書館除く）",さいたま地方法務局久喜支局,,,本町4-5-28,36.068474 ,139.661495 ,21-0215,,,,,
31,112321,久喜市,"国・県の機関
（学校・図書館除く）",久喜簡易裁判所,,,久喜東1-15-3,36.062228 ,139.679400 ,21-0157,,,,,
32,112321,久喜市,"国・県の機関
（学校・図書館除く）",さいたま家庭裁判所久喜出張所,,,久喜東1-15-3,36.062228 ,139.679400 ,21-0157,,,,,
33,112321,久喜市,"国・県の機関
（学校・図書館除く）",県農業技術研究センター（久喜試験場）,,,六万部91,36.087767 ,139.636312 ,21-1113,,,,,
34,112321,久喜市,"国・県の機関
（学校・図書館除く）",久喜市ふるさとハローワーク,,,下早見85-3（久喜市役所　本庁舎内）,36.062145 ,139.666817 ,29-2768,,,,,
35,112321,久喜市,"国・県の機関
（学校・図書館除く）",国土交通省利根川上流河川事務所,,,栗橋北2-19-1,36.143396 ,139.699164 ,52-3952,,,,,
36,112321,久喜市,"国・県の機関
（学校・図書館除く）",古利根川水循環センター,,,吉羽772-1,36.058372 ,139.689261 ,22-3819,,,,,
37,112321,久喜市,保健・医療,中央保健センター,,,本町5ｰ10-47,36.071032 ,139.665292 ,21-5354,,,,,
38,112321,久喜市,保健・医療,菖蒲保健センター,,,菖蒲町新堀1,36.058944 ,139.601899 ,85-7021,,,,,
39,112321,久喜市,保健・医療,栗橋保健センター,,,間鎌251-1,36.126453 ,139.696062 ,52-5577,,,,,
40,112321,久喜市,保健・医療,鷲宮保健センター,,,鷲宮6-1-2,36.101118 ,139.667172 ,58-8521,,,,,
41,112321,久喜市,保健・医療,久喜市休日夜間急患診療所,,,本町5-10-47（中央保健センター併設）,36.071032 ,139.665292 ,21-9090,,,,,
42,112321,久喜市,福祉,高齢者福祉センター「いきいき温泉久喜」,,,江面1574-1,36.057963 ,139.663438 ,22-7933,,,,,
43,112321,久喜市,福祉,偕楽荘,,,上清久930,36.079565 ,139.648958 ,21-0307,,,,,
44,112321,久喜市,福祉,菖蒲老人福祉センター,,,菖蒲町三箇2904,36.063708 ,139.625978 ,85-1205,,,,,
45,112321,久喜市,福祉,彩嘉園,,,菖蒲町三箇1235-1,36.061792 ,139.616847 ,85‐7315,,,,,
46,112321,久喜市,福祉,鷲宮福祉センター,,,鷲宮6-1-5,36.101086 ,139.669098 ,58-6666,,,,,
47,112321,久喜市,福祉,ふれあいセンター久喜,,,青毛753-1,36.072202 ,139.693437 ,25-1010,,,,,
48,112321,久喜市,福祉,いちょうの木,,,所久喜835-1,36.074721 ,139.636393 ,23-4711,,,,,
49,112321,久喜市,福祉,けやきの木,,,青毛1146-1,36.074352 ,139.692558 ,21-7555,,,,,
50,112321,久喜市,福祉,のぞみ園,,,北青柳1331,36.051137 ,139.663396 ,22-2381,,,,,
51,112321,久喜市,福祉,健康福祉センター（くりむ）,,,間鎌255-1,36.125554 ,139.696141 ,52-8787,,,,,
52,112321,久喜市,福祉,くりの木,,,間鎌276-2,36.124340 ,139.697659 ,55-2341,,,,,
53,112321,久喜市,福祉,あゆみの郷,,,東大輪2273-1,36.100721 ,139.670083 ,58-8956,,,,,
54,112321,久喜市,福祉,ゆう・あい,,,上内327-6,36.084196 ,139.667836 ,57-4353,,,,,
55,112321,久喜市,福祉,児童センター,,,吉羽1-40-14,36.065506 ,139.689346 ,21-8181,,,,,
56,112321,久喜市,福祉,しょうぶ会館,,,菖蒲町菖蒲1077-1,36.069773 ,139.596971 ,85-0370,,,,,
57,112321,久喜市,福祉,鷲宮児童館,,,上内878,36.088566 ,139.659848 ,58-7054,,,,,
58,112321,久喜市,福祉,久喜市ファミリー･サポート･センター,,,青毛753-1（ふれあいセンター久喜内）,36.072202 ,139.693437 ,29-1900,,,,,
59,112321,久喜市,福祉,久喜市ファミリー･サポート･センター菖蒲,,,菖蒲町新堀38（菖蒲総合支所内）,36.059249 ,139.601499 ,85-2015,,,,,
60,112321,久喜市,福祉,久喜市ファミリー･サポート･センター栗橋,,,中里1048-1（栗橋地域子育て支援センター内）,36.105445 ,139.714200 ,55-1148,,,,,
61,112321,久喜市,福祉,久喜市ファミリー･サポート･センター鷲宮,,,鷲宮2-6-19（鷲宮地域子育て支援センター内）,36.098551 ,139.661139 ,59-6600,,,,,
62,112321,久喜市,福祉,久喜地域子育て支援センター　（ぽかぽか）,,,吉羽692-1（ひまわり保育園内）,36.058999 ,139.685968 ,21-8596,,,,,
63,112321,久喜市,福祉,栗橋地域子育て支援センター　（くぷる）,,,中里1048-1（栗橋コミュニティセンター内）,36.105445 ,139.714200 ,55-1147,,,,,
64,112321,久喜市,福祉,鷲宮地域子育て支援センター　（すまいる）,,,鷲宮2-6-19（久喜市ファミリー・サポート・センター鷲宮内）,36.098551 ,139.661139 ,59-7510,,,,,
65,112321,久喜市,福祉,久喜市つどいの広場　（きらきら）,,,本町2-5-1（久喜小学校内放課後児童クラブ施設）,36.067801 ,139.669545 ,21-8324,,,,,
66,112321,久喜市,福祉,子育て支援センター　（あろは）,,,本町5-4-34,36.070839 ,139.664138 ,22-2230,,,,,
67,112321,久喜市,福祉,子育て支援センター　（ほほえみ）,,,吉羽2170-2,36.063279 ,139.697342 ,31-6057,,,,,
68,112321,久喜市,福祉,子育て支援センター　（リトルエンゼル）,,,青葉3-7,36.070526 ,139.697479 ,22-3327,,,,,
69,112321,久喜市,福祉,子育て支援センター　（あけぼのランド）,,,久喜東1-16-12,36.062777 ,139.680227 ,21-1011,,,,,
70,112321,久喜市,福祉,クッキーこども広場,,,久喜中央1-1-20クッキープラザ３階,36.066542 ,139.677025 ,23-1133,,,,,
71,112321,久喜市,福祉,子育て支援センター　（いちご広場）,,,菖蒲町小林2848-1,36.061885 ,139.575933 ,85-5834,,,,,
72,112321,久喜市,福祉,子育て支援センター　（ぽぴーるーむ）,,,菖蒲町菖蒲410-4,36.067056 ,139.607951 ,85-5895,,,,,
73,112321,久喜市,福祉,子育て支援センター　（ばんびるーむ）,,,佐間1145,36.121611 ,139.694565 ,52-5988,,,,,
74,112321,久喜市,福祉,子育て支援センター　（森のひろば）,,,伊坂135,36.134069 ,139.688641 ,52-4344,,,,,
75,112321,久喜市,福祉,子育て支援センター　（くりぽん）,,,小右衛門1295-1,36.117994 ,139.710257 ,52-0074,,,,,
